"Key","ko","en","Context"
"item.healing_item.description","{SpeedBonus}만큼 최대 속도 증가, 몬스터 {KillReq}마리 처치시 최대 속도의 {HealAmt}만큼 회복.","Increases maximum speed by {SpeedBonus}. Every {KillReq} enemies defeated, restores {HealAmt} of maximum speed.","심전도계 / itemScript"
"item.healing_item.name","심전도계","Heart Monitor","심전도계 / itemName"
"item.healing_item.summary","몬스터를 처치하면 속도 회복","Defeat enemies to restore speed.","심전도계 / itemSimpleScript"
"item.laser_gun.description","공격을 다단히트의 레이저 발사로 변경. 레이저는 {Duration}초 만큼 지속 가능하며 {Cooldown}초 동안 준비가 필요.","Replaces your attack with a laser that hits repeatedly. Fires for {Duration} seconds, then needs {Cooldown} seconds to recharge.","BF-12000 / itemScript"
"item.laser_gun.name","BF-12000","BF-12000","BF-12000 / itemName"
"item.laser_gun.summary","기본총기가 관통공격을 하는 레이저 포로 변경","Replaces the main gun with a piercing laser cannon.","BF-12000 / itemSimpleScript"
"item.longinus_launcher.description","{Damage}데미지의 거대한 창을 {Cooldown}초 마다 발사.","Launches a giant spear dealing {Damage} damage every {Cooldown} seconds.","롱기누스의 창 / itemScript"
"item.longinus_launcher.name","롱기누스의 창","Spear of Longinus","롱기누스의 창 / itemName"
"item.longinus_launcher.summary","일정시간마다 맵을 뚫고 지나가는 창 소환","Periodically summons a spear that pierces through the map.","롱기누스의 창 / itemSimpleScript"
"item.magic_bullet.description","탄환이 적에 적중 시 {Bounce}번 튕긴다. 투사체는 튕길 때 마다 데미지가 35%씩 감소.","Bullets bounce {Bounce} times after hitting an enemy. Each bounce reduces projectile damage by 35%.","마탄 / itemScript"
"item.magic_bullet.name","마탄","Magic Bullet","마탄 / itemName"
"item.magic_bullet.summary","몬스터에게 튕기는 총알","Bullets ricochet between enemies.","마탄 / itemSimpleScript"
"item.poison_missile_launcher.description","{Cooldown}초 마다 {Damage}데미지를 지속적으로 주는 독가스를 생성하는 미사일 발사.","Fires a missile every {Cooldown} seconds that creates poison gas, dealing {Damage} damage repeatedly.","독미사일 / itemScript"
"item.poison_missile_launcher.name","독미사일","Poison Missile","독미사일 / itemName"
"item.poison_missile_launcher.summary","독구름을 생성하는 미사일 발사","Fires missiles that create poison clouds.","독미사일 / itemSimpleScript"
"item.rear_gun.description","플레이어가 공격할 때 {Damage}데미지의 총알 {Count}개를 {Cooldown}초 마다 발사하는 후방 총기 부착.","Adds a rear gun that fires {Count} bullets dealing {Damage} damage every {Cooldown} seconds while you attack.","살점총 / itemScript"
"item.rear_gun.name","살점총","Flesh Gun","살점총 / itemName"
"item.rear_gun.summary","조준선 반대로 발사되는 총 추가","Adds a gun that fires opposite your aim.","살점총 / itemSimpleScript"
"item.red_gear.description","총기 공격력 {Damage}%만큼 증가.","Increases gun damage by {Damage}%.","붉은 톱니바퀴 / itemScript"
"item.red_gear.name","붉은 톱니바퀴","Red Gear","붉은 톱니바퀴 / itemName"
"item.red_gear.summary","공격력 증가","Increases attack damage.","붉은 톱니바퀴 / itemSimpleScript"
"item.revolver.description","{CoolTime}초 마다 {Damage}의 총알을 전방으로 {BulletNum}발 발사.","Fires {BulletNum} bullets forward, each dealing {Damage} damage, every {CoolTime} seconds.","건슬레이브 / itemScript"
"item.revolver.name","건슬레이브","Gunslave","건슬레이브 / itemName"
"item.revolver.summary","일정시간마다 전방에 총알 발사","Periodically fires bullets forward.","건슬레이브 / itemSimpleScript"
"outcome.0acf3a32b5329d04c91d2b91898d21e8.text_1","이 또한 신의 뜻이겠지요","This, too, must be the will of God.","피해망상_Sel2 / specialText"
"outcome.0acf3a32b5329d04c91d2b91898d21e8.text_2","이 불경한 자가!!!!!!!!!","You blasphemer!!!!!!!!!","피해망상_Sel2 / specialText"
"outcome.3cc221346e70ac1468a485ae5b90baa9.text_2","아이쿠 렌치가 미끄러졌네
다음엔 잘될거야","Oops, the wrench slipped.
It will work next time.","머신 스피릿_Sel2_Logic / specialText"
"outcome.448d3a5a618f5dd4eb4d1dc3af95763b.text_2","아이쿠 렌치가 미끄러졌네
다음엔 잘될거야","Oops, the wrench slipped.
It will work next time.","머신 스피릿_Sel2 / specialText"
"outcome.6f548ffd1bc84f547909c0ffc47b7445.text_1","""축하드립니다 당첨이시네요""","""Congratulations! You won!""","거대한 자판기_Sel1_Logic / specialText"
"outcome.6f548ffd1bc84f547909c0ffc47b7445.text_2","""아쉽게도 꽝이네요""","""Sorry. Better luck next time.""","거대한 자판기_Sel1_Logic / specialText"
"outcome.7d4add2a74a075c418c5295e8e3c087c.text_2","아이쿠 망치가 미끄러졌네
다음엔 잘될거야","Oops, the hammer slipped.
It will work next time.","머신 스피릿_Sel1_Logic / specialText"
"outcome.9a6e9a55bd42c14468d317dd8ccf9069.text_1","이 또한 신의 뜻이겠지요","This, too, must be the will of God.","피해망상_Sel2_Logic / specialText"
"outcome.9a6e9a55bd42c14468d317dd8ccf9069.text_2","이 불경한 자가!!!!!!!!!","You blasphemer!!!!!!!!!","피해망상_Sel2_Logic / specialText"
"outcome.b37493c2b9288574aac71c9011d6939e.text_1","음 바로 이 TASTE야!!","Mmm, now THAT is the TASTE!!","쌉나다 싸요_Sel2 / specialText"
"outcome.b37493c2b9288574aac71c9011d6939e.text_2","당장 나가서 MONSTER를 잡아! YOu FucK`en Slow meAtTBall !!","Get out there and kill some MONSTERS! You fucking slow MEATBALL!!","쌉나다 싸요_Sel2 / specialText"
"outcome.b7ba4b5e87ebc634096346e7bb04ee87.text_1","감사합니다. 살려주셨으니 소소하지만 이거라도..","Thank you for saving me. It is not much, but please take this...","피해망상_Sel1_Logic / specialText"
"outcome.b7ba4b5e87ebc634096346e7bb04ee87.text_2","어디가!!!! #@$%@#@#$%!#$","Where are you going!!!! #@$%@#@#$%!#$","피해망상_Sel1_Logic / specialText"
"outcome.c8cac2a1c9e6fda4c8ee67d41ac67006.text_1","""축하드립니다 당첨이시네요""","""Congratulations! You won!""","거대한 자판기_Sel1 / specialText"
"outcome.c8cac2a1c9e6fda4c8ee67d41ac67006.text_2","""아쉽게도 꽝이네요""","""Sorry. Better luck next time.""","거대한 자판기_Sel1 / specialText"
"outcome.d4f2d59cf10a48f40b730684da17bf5b.text_2","ㅋㅋ","LOL","테스트용 아이템 전부 획득_Sel1_Logic / specialText"
"outcome.e106927c8aa613745aa2132677b09c1d.text_1","감사합니다. 살려주셨으니 소소하지만 이거라도..","Thank you for saving me. It is not much, but please take this...","피해망상_Sel1 / specialText"
"outcome.e106927c8aa613745aa2132677b09c1d.text_2","어디가!!!! #@$%@#@#$%!#$","Where are you going!!!! #@$%@#@#$%!#$","피해망상_Sel1 / specialText"
"outcome.edc5b7f9e897bdb438960bea3f0e6ab0.text_2","아이쿠 망치가 미끄러졌네
다음엔 잘될거야","Oops, the hammer slipped.
It will work next time.","머신 스피릿_Sel1 / specialText"
"result.enemy_hp","적들의 체력이 강화되었습니다! (+{0}%)","Enemy HP increased! (+{0}%)","Event result"
"result.error.inventory_missing","오류: Inventory를 찾을 수 없습니다.","Error: Inventory was not found.","Event result"
"result.error.item_database_missing","오류: Inventory 또는 ItemDatabase가 없습니다.","Error: Inventory or ItemDatabase is missing.","Event result"
"result.error.item_missing","오류: 획득할 아이템(soReference)이 지정되지 않았습니다.","Error: No item was assigned.","Event result"
"result.error.monster_missing","오류: 몬스터 프리팹이 없습니다.","Error: Monster prefab is missing.","Event result"
"result.error.pool_missing","오류: PoolManager를 찾을 수 없습니다.","Error: PoolManager was not found.","Event result"
"result.error.random_acquire","랜덤 아이템 획득 로직 실행 (ItemDatabase 필요)","Random item acquisition requires an ItemDatabase.","Event result"
"result.error.spawner","Spawner 오류","Spawner error","Event result"
"result.item_acquired","새로운 아이템 <{0}>(을)를 획득했습니다.","Acquired a new item: <{0}>.","Event result"
"result.item_level_change","<{0}> [레벨 {1} -> {2}]","<{0}> [Lv.{1} -> {2}]","Event result"
"result.item_max","<{0}>(이)가 이미 최대 레벨(MAX)입니다.","<{0}> is already at MAX level.","Event result"
"result.item_to_max","<{0}> [레벨 {1} -> MAX]","<{0}> [Lv.{1} -> MAX]","Event result"
"result.item_upgraded","<{0}>(이)가 (Lv.{1} → {2})로 업그레이드되었습니다.","<{0}> upgraded (Lv.{1} → {2}).","Event result"
"result.monsters_spawned","{0} 몬스터 출현! ({1} x{2})","{0} monsters appeared! ({1} x{2})","Event result"
"result.new_item_upgrade","<{0}>(이)가 (NEW → {1})로 업그레이드되었습니다.","<{0}> upgraded (NEW → {1}).","Event result"
"result.no_new_items","획득할 수 있는 새로운 아이템이 없습니다.","No new items are available.","Event result"
"result.no_upgrades","업그레이드할 아이템이 없습니다.","No items are available to upgrade.","Event result"
"result.periodic_monsters","이제부터 {0}초마다 {1}에서 {2}이(가) 나타납니다!","Every {0} seconds, {2} will appear from the {1}!","Event result"
"result.random_items","랜덤 아이템 획득:
- ","Random items acquired:
- ","Event result"
"result.speed_loss","기차의 속도가 {0}만큼 감소했습니다.","Lost {0} train speed.","Event result"
"result.speed_recover","기차의 속도를 {0}만큼 회복했습니다.","Restored {0} train speed.","Event result"
"result.type.flying","공중","Flying","Event result"
"result.type.ground","지상","Ground","Event result"
"result.type.sky","하늘","Sky","Event result"
"result.upgrade_count","아이템 {0}회 업그레이드:
- ","Items upgraded by {0} levels:
- ","Event result"
"result.upgrade_max","아이템 최대 레벨 업그레이드:
- ","Items upgraded to MAX level:
- ","Event result"
"ui.bgm","BGM","BGM","Fixed UI label"
"ui.boss","보스","Boss","Fixed UI label"
"ui.close","닫기","Close","Fixed UI label"
"ui.controller_missing","Controller 없음","No controller","Speed HUD fallback"
"ui.credits","제작진","Credits","Fixed UI label"
"ui.elite","엘리트","Elite","Fixed UI label"
"ui.language","언어","Language","Option language selector"
"ui.level_up","레벨 업!","Level Up!","Fixed UI label"
"ui.normal","일반","Normal","Fixed UI label"
"ui.quit","게임 종료","Quit Game","Fixed UI label"
"ui.resolution","해상도","Resolution","Fixed UI label"
"ui.return_title","Space를 눌러 타이틀로 이동","Press Space to return to the title","Fixed UI label"
"ui.screen.borderless","테두리 없는 창","Borderless","Screen mode setting"
"ui.screen.fullscreen","전체 화면","Fullscreen","Screen mode setting"
"ui.screen.fullscreen_label","Full Screen","Full Screen","Fixed UI label"
"ui.screen.label","화면","Screen","Fixed UI label"
"ui.screen.mode","화면 모드","Screen Mode","Fixed UI label"
"ui.screen.windowed","창 모드","Windowed","Screen mode setting"
"ui.sfx","SFX","SFX","Fixed UI label"
"ui.survived","우리는 살아남았다. 물론 내일도, 그 다음날도, 다음날도","We survived. Tomorrow, the day after, and every day to come.","Fixed UI label"
"ui.toggle_window","Space를 통해 창을 여닫을 수 있습니다.","Press Space to open or close this window.","Fixed UI label"
"ui.total","총합","Total","Fixed UI label"
"ui.victory","승리","Victory","Fixed UI label"
